time,ax,ay,az,atotal
0.006803989410400391,0.18,-0.25,-0.28,0.41
0.008567094802856445,0.12,0.01,-0.42,0.43
0.014451980590820312,-0.27,0.24,0.01,0.36
0.02432703971862793,-0.32,-0.07,0.17,0.36
0.03445100784301758,-0.19,-0.12,-0.12,0.25
0.04432415962219238,-0.12,0.0,-0.23,0.25
0.0543980598449707,0.01,0.15,-0.35,0.38
0.06431698799133301,0.11,0.23,-0.32,0.4
0.07501101493835449,0.21,0.15,-0.02,0.25
0.08502197265625,0.29,-0.01,0.16,0.33
0.10297513008117676,0.31,-0.04,-0.04,0.31
0.10536694526672363,0.23,-0.05,-0.23,0.32
0.11445903778076172,0.14,-0.08,-0.21,0.26
0.12396693229675293,0.05,-0.16,0.01,0.16
0.13405609130859375,-0.01,-0.2,0.02,0.2
0.14408612251281738,0.01,-0.07,-0.23,0.24
0.15401387214660645,0.05,0.06,-0.25,0.26
0.16545414924621582,0.06,0.05,-0.04,0.08
0.17409706115722656,0.06,-0.04,0.15,0.16
0.18473601341247559,0.14,-0.05,0.1,0.17
0.20225787162780762,0.12,-0.01,0.1,0.15
0.20453095436096191,0.09,0.02,-0.02,0.09
0.21390008926391602,0.07,0.05,-0.15,0.17
0.2238140106201172,0.03,0.07,-0.13,0.15
0.23376917839050293,0.01,0.04,-0.04,0.05
0.24367117881774902,0.01,-0.01,-0.03,0.03
0.25376009941101074,0.02,-0.02,-0.07,0.07
0.2638819217681885,0.02,-0.01,-0.05,0.05
0.27434706687927246,0.12,-0.28,-0.22,0.37
0.28426599502563477,0.56,0.31,-0.47,0.79
0.30123400688171387,0.09,0.68,-0.24,0.72
0.3036160469055176,-0.06,0.1,-0.39,0.4
0.31351399421691895,0.0,-0.2,-0.57,0.6
0.323444128036499,-0.04,-0.32,-0.54,0.62
0.33347201347351074,0.11,-0.43,-0.73,0.85
0.34337592124938965,0.26,-0.4,-0.91,1.02
0.3539750576019287,0.38,-0.24,-1.08,1.16
0.364077091217041,0.36,-0.09,-1.21,1.26
0.3739011287689209,0.4,-0.16,-1.63,1.68
0.38388705253601074,0.66,-0.1,-1.76,1.88
0.4017460346221924,0.52,-0.1,-1.09,1.21
0.4042551517486572,0.24,-0.54,-0.42,0.72
0.41334986686706543,0.3,-0.79,-0.56,1.01
0.42307400703430176,0.57,-0.42,-1.13,1.33
0.4331049919128418,0.54,-0.04,-1.18,1.29
0.4429309368133545,0.32,-0.04,-0.72,0.78
0.45365405082702637,1.38,0.09,-0.22,1.4
0.4634830951690674,1.15,-0.4,0.52,1.32
0.473175048828125,1.46,-0.93,0.66,1.85
0.4834721088409424,0.95,-1.12,0.89,1.71
0.5024011135101318,-0.07,-1.1,0.8,1.36
